Data extracted on 18/03/2021 12:17:58 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Domestic material consumption per capita [T2020_RL110],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,05/03/2021 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment indicator,,Domestic material consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Tonnes per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Spain,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,17.007,s,17.389,s,18.681,s,19.371,s,19.6,s,19.889,s,20.491,s,20.601,s,17.668,b,14.294,,12.638,,11.113,,8.836,,8.323,,8.433,,8.822,,8.604,,8.775,,9.383,,9.04,ep
France,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,14.55,,13.893,,13.876,,12.951,,14.147,,13.603,,13.809,,14.282,,13.907,,12.38,,12.1,,12.401,,11.992,,11.956,,11.716,,11.116,,10.863,,11.693,,11.532,,11.477,ps
Croatia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,7.491,s,9.478,,10.988,,11.661,,13.192,,12.725,,13.527,,13.545,,15.602,,12.284,,10.444,,10.4,,9.483,,9.965,,9.181,,9.779,,10.108,,9.982,,10.426,,10.838,
Italy,:,,13.407,,13.311,,12.032,,11.951,,12.421,,12.231,,12.088,,12.879,,13.698,,13.237,,13.437,,14.131,,13.894,,14.307,,14.346,,14.607,,14.157,,13.478,b,11.986,,11.569,,11.684,,9.942,,8.325,,8.202,,7.95,,7.992,,7.956,,8.11,,8.111,p
Cyprus,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,24.315,,24.058,,25.809,,22.436,,24.739,,24.907,,24.234,,27.313,,40.08,,30.643,,27.809,,26.61,,19.228,,13.912,,13.966,,14.116,,15.629,,18.365,,18.041,,18.822,ps
Latvia,:,,:,,:,,:,,:,,4.735,,6.043,,5.649,,5.65,,6.939,,6.451,,6.811,,7.639,,8.415,,9.627,,11.193,,12.744,,14.962,,13.527,,8.158,,9.534,,11.203,,11.38,,12.437,,11.992,,12.946,,11.714,,13.235,,14.523,,13.863,
Lithuania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,8.336,,7.547,,9.164,,10.831,,11.703,,12.309,,12.595,,15.082,,16.19,,11.037,,12.418,,13.779,,12.813,,15.668,,14.835,,14.973,,15.702,,17.827,,17.698,,18.955,
Luxembourg,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,25.58,,23.619,,25.115,,25.483,,26.417,,25.75,,27.616,,26.458,,22.716,,21.737,,21.541,,20.99,,20.315,,20.799,,21.337,,23.773,,23.68,,24.424,,22.812,,22.998,
Hungary,:,,:,,:,,:,,:,,10.762,,10.99,,11.925,,11.355,,11.478,,11.715,,13.37,,12.888,,13.104,,15.477,,17.704,,14.81,,11.764,,13.221,,10.66,,9.78,,9.846,,8.643,,9.949,,12.854,,12.661,,12.149,,13.665,,15.672,,17.603,ps
Malta,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,9.358,,8.952,,8.551,,10.132,,10.205,,8.863,,10.783,,8.896,,7.885,,8.304,,7.15,,9.374,,10.621,,8.72,,11.856,,13.8,,13.679,,11.498,,13.002,,11.627,
Netherlands,:,,:,,:,,:,,:,,:,,12.38,,12.382,,12.024,,12.396,,12.526,,12.278,,11.007,,10.762,,11.319,,11.075,,11.227,,11.743,,12.404,,11.56,,11.483,,11.19,,10.658,,10.093,e,10.338,,11.048,e,9.929,,9.144,e,9.371,,8.783,ep
Austria,:,,:,,:,,:,,:,,22.27,,22.923,,23.858,,22.841,,23.579,,20.185,b,19.595,,21.006,,19.767,,20.611,,20.979,,21.243,,21.388,,20.356,,18.948,,19.206,,20.256,,19.688,,19.2,,19.065,,18.452,,19.179,,18.891,,19.019,,18.973,p
Poland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,14.094,,13.555,,12.942,,13.343,,14.225,,14.451,,14.762,,16.491,,16.879,,16.197,,16.95,,20.962,,18.268,,17.272,,17.215,,16.931,,17.695,,18.708,,19.344,,17.615,
Portugal,:,,:,,:,,:,,:,,14.506,,14.427,,15.961,,16.807,,19.28,,19.636,,20.427,,19.704,,17.315,,18.749,,18.623,,21.092,,21.832,,22.794,,20.516,,19.082,,17.697,,16.291,,13.92,,15.397,,15.503,,14.863,,16.344,,16.316,,16.704,
Romania,:,,:,,:,,:,,13.702,,14.492,,11.264,,9.976,,10.838,,8.716,,7.701,,12.404,,12.108,,13.273,,14.268,,15.713,,17.01,,20.528,,22.214,,17.41,s,13.651,s,19.043,s,18.008,s,18.012,s,18.797,s,22.509,s,22.904,s,21.318,s,23.105,s,27.613,ps
Slovenia,:,,:,,:,,:,,:,,14.136,,14.911,,15.477,,15.546,,16.291,,17.185,,16.866,,17.478,,18.896,,19.087,,18.473,,21.482,,23.651,,20.777,,17.017,,16.014,,14.39,,12.471,,12.213,,13.124,,13.305,,12.833,,13.106,,14.397,,13.532,
Slovakia,:,,:,,:,,:,,:,,:,,:,,:,,12.364,,11.07,,10.072,,10.769,,11.244,,10.976,,12.632,,13.956,,13.828,,14.141,,15.773,,13.579,,13.31,,13.458,,11.86,,11.407,,12.533,,12.482,,12.396,,12.786,,13.502,,12.288,
Finland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,33.73,s,34.353,s,34.347,s,35.875,s,36.142,s,36.665,s,38.188,s,38.75,s,39.048,s,32.029,s,34.389,s,34.64,s,33.083,,37.347,,31.024,,30.527,,31.511,,33.002,,34.567,,31.581,
Sweden,:,,:,,:,,:,,:,,:,,:,,:,,20.585,,20.002,,20.266,,19.885,,20.188,,20.303,,20.872,,22.552,,21.015,,22.903,,22.617,,19.508,,21.954,,22.939,,22.694,,23.167,,23.498,,23.038,,23.247,,24.142,,24.63,,25.843,
United Kingdom,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,12.546,,12.572,,12.16,,12.122,,12.535,,12.13,,11.903,,11.724,,10.92,,9.5,,9.166,,9.098,,8.814,,8.98,,9.124,,8.681,e,8.51,e,8.622,e,8.568,e,8.48,
Iceland,13.74,,12.921,,14.062,,13.717,,12.561,,12.509,,15.073,,15.744,,16.108,,16.652,,27.565,,25.41,,22.808,,25.104,,59.604,,44.285,,52.406,,51.683,,56.967,,52.792,,33.21,,21.451,,24.846,,30.346,,22.94,,23.289,,30.569,,32.523,,32.099,,30.231,
Norway,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,23.533,,23.24,,27.167,,24.819,,25.949,,26.151,,27.377,,27.114,,26.118,,29.981,b,24.457,b,24.15,,26.431,,30.786,
Switzerland,15.724,,14.499,,13.724,,13.055,,13.735,,13.158,,12.226,,12.045,,12.018,,11.618,,12.629,,12.557,,12.212,b,11.812,,12.402,,12.488,,12.714,,12.418,,12.48,,12.346,,12.569,,12.696,,12.216,,12.449,,12.416,,11.663,,11.67,,11.369,,11.034,,11.018,e
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,8.988,,9.872,,9.456,,9.209,,9.282,,9.291,,9.071,,8.472,,8.553,,9.335,p
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,7.017,,7.149,,7.226,,7.964,,7.851,,9.07,,9.936,,7.569,,8.002,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,12.975,,13.83,,12.972,,14.583,,14.788,,15.214,,14.514,,15.571,b,14.257,,15.193,,15.432,,14.022,,15.267,,14.474,,15.46,,16.936,,16.222,,17.021,,18.232,
Turkey,:,,:,,:,,:,,:,,:,,9.682,,9.67,,10.055,,9.117,,9.575,,8.067,,8.217,,8.44,,8.73,,10.183,,11.494,,11.586,,11.359,,10.921,,12.902,,13.447,,11.861,,11.783,,12.076,,12.849,,12.898,,13.378,,12.134,,:,
Bosnia and Herzegovina,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,9.666,,11.775,,10.344,,:,,:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ps,"provisional, Eurostat estimate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep,"estimated, provisional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,Eurostat estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
