"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2010","Euro area - 19 countries  (from 2015)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Euro area - 19 countries  (from 2015)","Other liquid biofuels","Production capacity","Thousand tonnes per year","3,975.158",""
"2010","Belgium","Pure biogasoline","Production capacity","Thousand tonnes per year","369.000",""
"2010","Belgium","Pure biodiesels","Production capacity","Thousand tonnes per year","665.000",""
"2010","Belgium","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Belgium","Other liquid biofuels","Production capacity","Thousand tonnes per year","340.000",""
"2010","Bulgaria","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Bulgaria","Pure biodiesels","Production capacity","Thousand tonnes per year","192.600",""
"2010","Bulgaria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Bulgaria","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Czechia","Pure biogasoline","Production capacity","Thousand tonnes per year","160.000",""
"2010","Czechia","Pure biodiesels","Production capacity","Thousand tonnes per year","420.000",""
"2010","Czechia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Czechia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Denmark","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Denmark","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Denmark","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Denmark","Other liquid biofuels","Production capacity","Thousand tonnes per year","104.780",""
"2010","Germany (until 1990 former territory of the FRG)","Pure biogasoline","Production capacity","Thousand tonnes per year","797.000",""
"2010","Germany (until 1990 former territory of the FRG)","Pure biodiesels","Production capacity","Thousand tonnes per year","4,694.000",""
"2010","Germany (until 1990 former territory of the FRG)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Germany (until 1990 former territory of the FRG)","Other liquid biofuels","Production capacity","Thousand tonnes per year","2,957.000",""
"2010","Ireland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Ireland","Pure biodiesels","Production capacity","Thousand tonnes per year","42.370",""
"2010","Ireland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Ireland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Greece","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Greece","Pure biodiesels","Production capacity","Thousand tonnes per year","900.000",""
"2010","Greece","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Greece","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Spain","Pure biogasoline","Production capacity","Thousand tonnes per year","464.000",""
"2010","Spain","Pure biodiesels","Production capacity","Thousand tonnes per year","4,286.000",""
"2010","Spain","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Spain","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","France","Pure biogasoline","Production capacity","Thousand tonnes per year","1,091.795",""
"2010","France","Pure biodiesels","Production capacity","Thousand tonnes per year","2,759.955",""
"2010","France","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","France","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Croatia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Croatia","Pure biodiesels","Production capacity","Thousand tonnes per year","64.000",""
"2010","Croatia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Croatia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Italy","Pure biogasoline","Production capacity","Thousand tonnes per year","332.000",""
"2010","Italy","Pure biodiesels","Production capacity","Thousand tonnes per year","2,212.194",""
"2010","Italy","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Italy","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Cyprus","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Cyprus","Pure biodiesels","Production capacity","Thousand tonnes per year","14.080",""
"2010","Cyprus","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Cyprus","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Latvia","Pure biogasoline","Production capacity","Thousand tonnes per year","28.361",""
"2010","Latvia","Pure biodiesels","Production capacity","Thousand tonnes per year","210.111",""
"2010","Latvia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Latvia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Lithuania","Pure biogasoline","Production capacity","Thousand tonnes per year","60.000",""
"2010","Lithuania","Pure biodiesels","Production capacity","Thousand tonnes per year","150.000",""
"2010","Lithuania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Lithuania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Hungary","Pure biogasoline","Production capacity","Thousand tonnes per year","140.000",""
"2010","Hungary","Pure biodiesels","Production capacity","Thousand tonnes per year","189.000",""
"2010","Hungary","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Hungary","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Malta","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Malta","Pure biodiesels","Production capacity","Thousand tonnes per year","1.107",""
"2010","Malta","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Malta","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Netherlands","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Netherlands","Pure biodiesels","Production capacity","Thousand tonnes per year","1,306.000",""
"2010","Netherlands","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Netherlands","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Austria","Pure biogasoline","Production capacity","Thousand tonnes per year","191.000",""
"2010","Austria","Pure biodiesels","Production capacity","Thousand tonnes per year","645.500",""
"2010","Austria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Austria","Other liquid biofuels","Production capacity","Thousand tonnes per year","645.500",""
"2010","Poland","Pure biogasoline","Production capacity","Thousand tonnes per year","564.000",""
"2010","Poland","Pure biodiesels","Production capacity","Thousand tonnes per year","839.000",""
"2010","Poland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Poland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Portugal","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Portugal","Pure biodiesels","Production capacity","Thousand tonnes per year","630.342",""
"2010","Portugal","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Portugal","Other liquid biofuels","Production capacity","Thousand tonnes per year","12.658",""
"2010","Romania","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Romania","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Romania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Romania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Slovenia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Slovenia","Pure biodiesels","Production capacity","Thousand tonnes per year","25.000",""
"2010","Slovenia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Slovenia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Slovakia","Pure biogasoline","Production capacity","Thousand tonnes per year","98.000",""
"2010","Slovakia","Pure biodiesels","Production capacity","Thousand tonnes per year","143.000",""
"2010","Slovakia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Slovakia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Finland","Pure biogasoline","Production capacity","Thousand tonnes per year","5.000",""
"2010","Finland","Pure biodiesels","Production capacity","Thousand tonnes per year","380.000",""
"2010","Finland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Finland","Other liquid biofuels","Production capacity","Thousand tonnes per year","20.000",""
"2010","Sweden","Pure biogasoline","Production capacity","Thousand tonnes per year","156.806",""
"2010","Sweden","Pure biodiesels","Production capacity","Thousand tonnes per year","130.611",""
"2010","Sweden","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Sweden","Other liquid biofuels","Production capacity","Thousand tonnes per year","252.021",""
"2010","Iceland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Iceland","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Iceland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2010","Iceland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Norway","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2010","Norway","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2010","Norway","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
