geo_code,time,value,type,value_share_calculated
LU,2003,1228.0,ANI,0.351963313270278
LU,2004,1258.0,ANI,0.3605617655488679
LU,2005,1258.0,ANI,0.3592233009708738
LU,2006,1220.0,ANI,0.34807417974322397
LU,2007,1163.0,ANI,0.33219080262782064
LU,2008,1173.0,ANI,0.33409285103958986
LU,2009,1131.0,ANI,0.32213044716604955
LU,2010,1121.0,ANI,0.3179239931934203
LU,2011,1131.0,ANI,0.3202151755379388
LU,2012,1188.0,ANI,0.33559322033898303
LU,2013,1173.0,ANI,0.3314495620231704
LU,2014,1134.0,ANI,0.3244635193133047
LU,2015,1184.0,ANI,0.34150562445918664
LU,2016,1173.0,ANI,0.3384304673975765
LV,2000,759.0,ANI,0.2725314183123878
LV,2001,761.0,ANI,0.26268553676216777
LV,2002,834.0,ANI,0.27753743760399335
LV,2003,847.0,ANI,0.2779783393501805
LV,2004,862.0,ANI,0.2801429964250894
LV,2005,862.0,ANI,0.27443489334606813
LV,2006,889.0,ANI,0.2766884531590414
LV,2007,933.0,ANI,0.29515975956975643
LV,2008,989.0,ANI,0.3132720937598986
LV,2009,982.0,ANI,0.3093887838689351
LV,2010,987.0,ANI,0.31473214285714285
LV,2011,977.0,ANI,0.31035578144853876
LV,2012,945.0,ANI,0.30405405405405406
LV,2013,906.0,ANI,0.28544423440453687
LV,2014,961.0,ANI,0.2995635910224439
LV,2015,954.0,ANI,0.3005671077504726
LV,2016,1000.0,ANI,0.30998140111593303
MT,2000,887.0,ANI,0.26628640048033625
MT,2001,920.0,ANI,0.27528426092160385
MT,2002,888.0,ANI,0.26562967394555786
MT,2003,902.0,ANI,0.26773523300682694
MT,2004,918.0,ANI,0.2722419928825623
MT,2005,894.0,ANI,0.2653606411398041
MT,2006,903.0,ANI,0.26811163895486934
MT,2007,926.0,ANI,0.2747774480712166
MT,2008,928.0,ANI,0.2752892316819935
MT,2009,873.0,ANI,0.2583604616750518
MT,2010,869.0,ANI,0.25656923531148507
MT,2011,892.0,ANI,0.26437462951985774
MT,2012,919.0,ANI,0.2718130730553091
MT,2013,928.0,ANI,0.2747187685020722
MT,2014,958.0,ANI,0.28052708638360174
MT,2015,923.0,ANI,0.2694890510948905
MT,2016,955.0,ANI,0.2823772915434654
NL,2000,1182.0,ANI,0.3620214395099541
NL,2001,1170.0,ANI,0.35955746773202213
NL,2002,1135.0,ANI,0.34933825792551554
NL,2003,1029.0,ANI,0.32760267430754536
NL,2004,1078.0,ANI,0.3371911166718799
NL,2005,1125.0,ANI,0.34818941504178275
NL,2006,1125.0,ANI,0.35014005602240894
NL,2007,1075.0,ANI,0.33209762125424774
NL,2008,1104.0,ANI,0.3420074349442379
NL,2009,1110.0,ANI,0.34547152194211017
NL,2010,1033.0,ANI,0.3220074812967581
NL,2011,1027.0,ANI,0.3197384806973848
NL,2012,1076.0,ANI,0.33364341085271315
NL,2013,1076.0,ANI,0.3333333333333333
NL,2014,1066.0,ANI,0.3317771553065671
NL,2015,1088.0,ANI,0.3358024691358025
NL,2016,1147.0,ANI,0.3539031163221228
PL,2000,907.0,ANI,0.2652822462708394
PL,2001,897.0,ANI,0.26220403390821395
PL,2002,928.0,ANI,0.27063283756197143
PL,2003,928.0,ANI,0.2712657117801812
PL,2004,893.0,ANI,0.26420118343195265
PL,2005,872.0,ANI,0.2587537091988131
PL,2006,880.0,ANI,0.262451535937966
PL,2007,895.0,ANI,0.2660523186682521
PL,2008,883.0,ANI,0.2638971906754334
PL,2009,902.0,ANI,0.2638970157987127
PL,2010,925.0,ANI,0.2710225607969528
PL,2011,927.0,ANI,0.26924194016845776
PL,2012,908.0,ANI,0.26372349695033404
PL,2013,917.0,ANI,0.2657200811359026
PL,2014,928.0,ANI,0.27182190978324544
PL,2015,970.0,ANI,0.28757782389564185
PL,2016,995.0,ANI,0.2883222254419009
PT,2000,1031.0,ANI,0.2909142212189616
PT,2001,1046.0,ANI,0.2956472583380441
PT,2002,1044.0,ANI,0.29541595925297115
PT,2003,1011.0,ANI,0.28697133125177404
PT,2004,1006.0,ANI,0.2845827439886846
PT,2005,1046.0,ANI,0.2962333616539224
PT,2006,1047.0,ANI,0.2973587049133769
