geo,time,value,unit
Denmark,2011,121,kg per capita
Denmark,2012,125,kg per capita
Denmark,2013,130,kg per capita
Denmark,2014,141,kg per capita
Denmark,2015,151,kg per capita
Denmark,2016,153,kg per capita
Denmark,2017,154,kg per capita
Denmark,2018,143,kg per capita
Denmark,2019,152,kg per capita
Germany (until 1990 former territory of the FRG),2000,92,kg per capita
Germany (until 1990 former territory of the FRG),2001,92,kg per capita
Germany (until 1990 former territory of the FRG),2002,92,kg per capita
Germany (until 1990 former territory of the FRG),2003,88,kg per capita
Germany (until 1990 former territory of the FRG),2004,94,kg per capita
Germany (until 1990 former territory of the FRG),2005,93,kg per capita
Germany (until 1990 former territory of the FRG),2006,93,kg per capita
Germany (until 1990 former territory of the FRG),2007,94,kg per capita
Germany (until 1990 former territory of the FRG),2008,98,kg per capita
Germany (until 1990 former territory of the FRG),2009,102,kg per capita
Germany (until 1990 former territory of the FRG),2010,101,kg per capita
Germany (until 1990 former territory of the FRG),2011,106,kg per capita
Germany (until 1990 former territory of the FRG),2012,110,kg per capita
Germany (until 1990 former territory of the FRG),2013,106,kg per capita
Germany (until 1990 former territory of the FRG),2014,114,kg per capita
Germany (until 1990 former territory of the FRG),2015,114,kg per capita
Germany (until 1990 former territory of the FRG),2016,116,kg per capita
Germany (until 1990 former territory of the FRG),2017,114,kg per capita
Germany (until 1990 former territory of the FRG),2018,109,kg per capita
Germany (until 1990 former territory of the FRG),2019,114,kg per capita
Estonia,2000,1,kg per capita
Estonia,2001,8,kg per capita
Estonia,2002,3,kg per capita
Estonia,2003,6,kg per capita
Estonia,2004,6,kg per capita
Estonia,2005,8,kg per capita
Estonia,2006,17,kg per capita
Estonia,2007,13,kg per capita
Estonia,2008,21,kg per capita
Estonia,2009,32,kg per capita
Estonia,2010,24,kg per capita
Estonia,2011,27,kg per capita
Estonia,2012,14,kg per capita
Estonia,2013,15,kg per capita
Estonia,2014,17,kg per capita
Estonia,2015,13,kg per capita
Estonia,2016,10,kg per capita
Estonia,2017,14,kg per capita
Estonia,2018,15,kg per capita
Estonia,2019,9,kg per capita
Ireland,2000,4,kg per capita
Ireland,2001,6,kg per capita
Ireland,2002,9,kg per capita
Ireland,2003,10,kg per capita
Ireland,2004,12,kg per capita
Ireland,2005,12,kg per capita
Ireland,2006,13,kg per capita
Ireland,2007,18,kg per capita
Ireland,2008,24,kg per capita
Ireland,2009,19,kg per capita
Ireland,2010,23,kg per capita
Ireland,2011,34,kg per capita
Ireland,2012,34,kg per capita
Ireland,2013,,kg per capita
Ireland,2014,39,kg per capita
Ireland,2015,,kg per capita
Ireland,2016,40,kg per capita
Ireland,2017,51,kg per capita
Ireland,2018,50,kg per capita
Ireland,2019,,kg per capita
Greece,2000,3,kg per capita
Greece,2001,3,kg per capita
Greece,2002,3,kg per capita
Greece,2003,0,kg per capita
Greece,2004,0,kg per capita
Greece,2005,3,kg per capita
Greece,2006,7,kg per capita
Greece,2007,9,kg per capita
Greece,2008,9,kg per capita
Greece,2009,3,kg per capita
Greece,2010,13,kg per capita
Greece,2011,14,kg per capita
Greece,2012,16,kg per capita
Greece,2013,17,kg per capita
Greece,2014,15,kg per capita
Greece,2015,12,kg per capita
Greece,2016,17,kg per capita
Greece,2017,21,kg per capita
Greece,2018,26,kg per capita
Greece,2019,26,kg per capita
Spain,2000,77,kg per capita
Spain,2001,67,kg per capita
Spain,2002,94,kg per capita
Spain,2003,96,kg per capita
Spain,2004,98,kg per capita
Spain,2005,100,kg per capita
Spain,2006,102,kg per capita
Spain,2007,99,kg per capita
Spain,2008,134,kg per capita
Spain,2009,97,kg per capita
Spain,2010,59,kg per capita
Spain,2011,49,kg per capita
Spain,2012,48,kg per capita
Spain,2013,77,kg per capita
Spain,2014,62,kg per capita
Spain,2015,53,kg per capita
Spain,2016,72,kg per capita
Spain,2017,84,kg per capita
Spain,2018,80,kg per capita
Spain,2019,80,kg per capita
France,2000,60,kg per capita
France,2001,65,kg per capita
France,2002,68,kg per capita
France,2003,66,kg per capita
France,2004,71,kg per capita
France,2005,66,kg per capita
France,2006,73,kg per capita
France,2007,80,kg per capita
France,2008,82,kg per capita
France,2009,85,kg per capita
France,2010,85,kg per capita
France,2011,86,kg per capita
France,2012,87,kg per capita
France,2013,89,kg per capita
France,2014,91,kg per capita
France,2015,93,kg per capita
France,2016,104,kg per capita
France,2017,106,kg per capita
France,2018,108,kg per capita
France,2019,110,kg per capita
Croatia,2000,,kg per capita
Croatia,2001,,kg per capita
Croatia,2002,,kg per capita
Croatia,2003,,kg per capita
Croatia,2004,,kg per capita
Croatia,2005,,kg per capita
Croatia,2006,,kg per capita
Croatia,2007,4,kg per capita
Croatia,2008,3,kg per capita
Croatia,2009,3,kg per capita
Croatia,2010,3,kg per capita
Croatia,2011,3,kg per capita
Croatia,2012,6,kg per capita
Croatia,2013,7,kg per capita
Croatia,2014,8,kg per capita
Croatia,2015,7,kg per capita
Croatia,2016,7,kg per capita
Croatia,2017,9,kg per capita
Croatia,2018,12,kg per capita
Croatia,2019,15,kg per capita
Italy,2000,22,kg per capita
Italy,2001,30,kg per capita
Italy,2002,30,kg per capita
Italy,2003,31,kg per capita
Italy,2004,34,kg per capita
Italy,2005,38,kg per capita
Italy,2006,42,kg per capita
Italy,2007,44,kg per capita
Italy,2008,53,kg per capita
Italy,2009,59,kg per capita
Italy,2010,67,kg per capita
Italy,2011,67,kg per capita
Italy,2012,73,kg per capita
Italy,2013,72,kg per capita
Italy,2014,80,kg per capita
Italy,2015,86,kg per capita
Italy,2016,94,kg per capita
Italy,2017,98,kg per capita
Italy,2018,105,kg per capita
Italy,2019,107,kg per capita
Cyprus,2000,0,kg per capita
Cyprus,2001,0,kg per capita
Cyprus,2002,0,kg per capita
Cyprus,2003,0,kg per capita
Cyprus,2004,0,kg per capita
Cyprus,2005,0,kg per capita
Cyprus,2006,0,kg per capita
Cyprus,2007,0,kg per capita
Cyprus,2008,0,kg per capita
Cyprus,2009,0,kg per capita
Cyprus,2010,0,kg per capita
Cyprus,2011,0,kg per capita
Cyprus,2012,8,kg per capita
Cyprus,2013,9,kg per capita
Cyprus,2014,19,kg per capita
Cyprus,2015,21,kg per capita
Cyprus,2016,19,kg per capita
Cyprus,2017,9,kg per capita
Cyprus,2018,11,kg per capita
Cyprus,2019,9,kg per capita
Latvia,2000,0,kg per capita
Latvia,2001,1,kg per capita
Latvia,2002,0,kg per capita
Latvia,2003,1,kg per capita
Latvia,2004,3,kg per capita
Latvia,2005,1,kg per capita
Latvia,2006,2,kg per capita
